Ingredient_Group,kcal,kJ,graisses,acides_gras_satures,acides_gras_mono_insatures,acides_gras_polyinsatures,cholesterol_mg,glucides,sucres,amidon,fibres_alimentaires,proteines,sel
lettuce,14,60,0.2,0,0,0.1,0,1.1,1,0,1.6,1.3,0
milk,68,282,4,2.4,0.9,0.2,15,4.7,4.7,0,0,3.2,0.1
mozzarella,256,1060,19.5,11.4,6,0.7,46,0.7,0.7,0,0,19.5,0.4
mushroom,29,122,0.4,0.1,0,0.2,0,0.6,0.2,0.1,4.9,3.5,0
mustard,124,513,7.7,0.5,4.1,2.7,0,3.8,2.6,0.4,5.3,7.1,4.1
nori sheets,255,1060,1.6,0.2,0.1,0.6,0,10.5,0.5,0,36.3,31.5,5
nutmeg,0.545,2.3,36.4,25.9,3.2,0.5,0,50,3.2,0,20.9,5.9,0
oil,810,3330,90,14.9,44.6,23.3,0,0,0,0,0,0,0
olive oil,810,3330,90,10.7,67.7,6.7,0,0,0,0,0,0,0
olives,176,722,17.2,2.1,10.2,1.5,0,0.8,0.8,0,6.2,1.4,1.8
onion,39,163,0.2,0,0,0.1,0,7,7,0,1.8,1.3,0
oregano,0.27,1.129,4,2,1,1,0,69,4,0,43,9,0
paprika,0.282,1.179,13.1,2.2,1.7,7.8,0,52.2,10.4,0,34.8,14.4,0
parsley,0.037,0.155,0.8,0.3,0.3,0,0,6.3,0.8,0,3.4,2.9,0
pasta,353,1500,1.2,0.2,0.1,0.5,0,70.5,0.4,69.7,5.1,12.6,0
peas,90,380,0.7,0.1,0.1,0.4,0,12,5.5,6.2,6,6,0
pepper,252,1.05,3.5,1.3,0.9,0.9,0,65.3,0.4,0,25.2,10.4,0
potato,76,320,0.1,0,0,0.1,0,15.6,0.7,14.7,2.1,2,0
rice,352,1490,0.9,0.2,0.3,0.3,0,78,0.2,77.8,1,7.4,0
salt,0,0,0,0,0,0,0,0,0,0,0,0,100
sour cream,336,1380,35,21,8.2,1.6,105,2.8,2.8,0,0,2.4,0.1
soy sauce,56,236,0.6,0.1,0.1,0.3,0,4.1,0.4,0,0.8,8.1,14
spinach,23,95,0.4,0.1,0,0.2,0,0.8,0.7,0.1,2.6,2.7,0.2
sugar,400,1700,0,0,0,0,0,100,100,0,0,0,0
sunflower oil,810,3330,90,9.8,27.7,49.1,0,0,0,0,0,0,0
tomato,21,89,0.3,0.1,0.1,0.1,0,3.2,3.2,0,1.2,0.8,0
tomato paste,77,326,0.2,0,0,0.1,0,12.9,12.4,0.4,2.8,4.5,0.6
tomato sauce,69,288,2.1,0.5,0.9,0.6,0,9.7,4.1,5.5,1.9,1.8,1.4
vegetable broth,6,26,0.4,0.1,0.2,0.1,0,0.4,0.1,0.2,0,0.3,0.9
vinegar,22,93,0,0,0,0,0,0.7,0.3,0,0,0.1,0
wasabi,308,1300,10.6,0,0,0,0,49.6,0,0,1.3,2.9,5.8
water,0,0,0,0,0,0,0,0,0,0,0,0,0
wine,69,287,0,0,0,0,0,0.3,0.3,0,0,0,0
yeast,354,1500,4.2,0.6,1.3,2.1,0,26.5,3.2,23.3,9.5,47.9,0.2
yogurt,66,277,3.6,2.2,0.9,0.2,11,4.5,4.5,0,0,3.9,0.1
zucchini,19,80,0.2,0,0,0.1,0,2,1.9,0.1,1,1.8,0
bay,0,0,0,0,0,0,0,0,0,0,0,0,0 
chili,0,0,0,0,0,0,0,0,0,0,0,0,0 
coconut cream,0,0,0,0,0,0,0,0,0,0,0,0,0 
dried tomatos,0,0,0,0,0,0,0,0,0,0,0,0,0 
fish sauce,0,0,0,0,0,0,0,0,0,0,0,0,0 
herb,0,0,0,0,0,0,0,0,0,0,0,0,0 
ricotta,0,0,0,0,0,0,0,0,0,0,0,0,0 
seasoning,0,0,0,0,0,0,0,0,0,0,0,0,0 
spice,0,0,0,0,0,0,0,0,0,0,0,0,0 
vanille,0,0,0,0,0,0,0,0,0,0,0,0,0
